Jagten (2012) ,8.3,1h 55min,10 January 2013,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
Eternal Sunshine of the Spotless Mind (2004) ,8.3,1h 48min,15 December 2019,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories."
Citizen Kane (1941) ,8.3,1h 59min,13 October 2020,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'."
Dangal (2016) ,8.4,2h 41min,23 December 2016,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.
Full Metal Jacket (1987) ,8.3,1h 56min,10 July 1987,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
Singin' in the Rain (1952) ,8.3,1h 43min,11 April 1952,A silent film production company and cast make a difficult transition to sound.
Ladri di biciclette (1948) ,8.3,1h 29min,24 November 1948,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it."
The Kid (1921) ,8.3,1h 8min,6 February 1921,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy."
1917 (2019) ,8.3,1h 59min,17 January 2020,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
North by Northwest (1959) ,8.3,2h 16min,18 December 1959,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.
Snatch (2000) ,8.3,1h 44min,31 October 2019,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
A Clockwork Orange (1971) ,8.3,2h 16min,4 October 2017,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
Scarface (1983) ,8.3,2h 50min,5 November 2013,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
Ikiru (1952) ,8.3,2h 23min,9 October 1952,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.
Taxi Driver (1976) ,8.3,1h 54min,13 March 1978,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute."
Idi i smotri (1985) ,8.3,2h 22min,17 October 1985,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
Toy Story 3 (2010) ,8.3,1h 43min,25 June 2010,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Lawrence of Arabia (1962) ,8.3,3h 48min,11 December 1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
Amélie (2001) ,8.3,2h 2min,25 April 2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love."
The Sting (1973) ,8.3,2h 9min,25 December 1973,Two grifters team up to pull off the ultimate con.
Jodaeiye Nader az Simin (2011) ,8.3,2h 3min,29 October 2012,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.
